x,y,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,STATION_NAME,LOCAL_DAY,ID,TOTAL_PRECIPITATION,LOCAL_DATE,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY
-114.01333333333334,51.1225,0,,8,,,33,,33,4.2,CALGARY INTL A,6,3031092.2012.8.6,0,2012-08-06 00:00:00,AB,,22.2,14.2,,,0,,,2012,,,,,0,,30.2,,3031092,
-114.01333333333334,51.1225,0,,8,,,50,,1,3.4,CALGARY INTL A,7,3031092.2012.8.7,0,2012-08-07 00:00:00,AB,,21.4,15.9,,,0,,,2012,,,T,T,0,,26.8,,3031092,
-114.01333333333334,51.1225,0,,8,,,70,,27,2.5,CALGARY INTL A,8,3031092.2012.8.8,0,2012-08-08 00:00:00,AB,,20.5,12.5,,,0,,,2012,,,,,0,,28.5,,3031092,
-114.01333333333334,51.1225,0,,8,,,37,,11,2,CALGARY INTL A,9,3031092.2012.8.9,0,2012-08-09 00:00:00,AB,,20,12.6,,,0,,,2012,,,,,0,,27.4,,3031092,
-114.01333333333334,51.1225,0,,8,,,39,,36,0,CALGARY INTL A,10,3031092.2012.8.10,0,2012-08-10 00:00:00,AB,,18,11.6,,,0,,,2012,,,,,0,,24.4,,3031092,
-114.01333333333334,51.1225,0,,8,,,37,,2,0,CALGARY INTL A,11,3031092.2012.8.11,0,2012-08-11 00:00:00,AB,,17.5,13.1,,,0.5,,,2012,,,,,0,,21.9,,3031092,
-114.01333333333334,51.1225,8,,8,,,87,,25,0,CALGARY INTL A,12,3031092.2012.8.12,8,2012-08-12 00:00:00,AB,,18,12.1,,,0,,,2012,,,,,0,,23.9,,3031092,
-114.01333333333334,51.1225,0,,8,,,35,,21,1.1,CALGARY INTL A,13,3031092.2012.8.13,0,2012-08-13 00:00:00,AB,,19.1,10.5,,,0,,,2012,,,,,0,,27.7,,3031092,
-114.01333333333334,51.1225,4,,8,,,96,,33,0,CALGARY INTL A,14,3031092.2012.8.14,4,2012-08-14 00:00:00,AB,,16.3,9.5,,,1.7,,,2012,,,,,0,,23.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,50,,36,0,CALGARY INTL A,15,3031092.2012.8.15,0,2012-08-15 00:00:00,AB,,12.9,8.4,,,5.1,,,2012,,,T,T,0,,17.4,,3031092,
-114.01333333333334,51.1225,0,,8,,,0,,0,0,CALGARY INTL A,16,3031092.2012.8.16,0,2012-08-16 00:00:00,AB,,14.6,5.3,,,3.4,,,2012,,,,,0,,23.8,,3031092,
-114.01333333333334,51.1225,0,,8,,,33,,1,0,CALGARY INTL A,17,3031092.2012.8.17,0,2012-08-17 00:00:00,AB,,16.3,6.4,,,1.7,,,2012,,,,,0,,26.1,,3031092,
