x,y,SNOW_ON_GROUND,LOCAL_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,LOCAL_DATE,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN
-113.60583583333333,53.306667222222224,54,22,-14.6,0,,,3012206.1999.1.22,,32.6,2.6,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-22 00:00:00,,,,2.6,,-21.2,,,,,,3012206,1,-8,,,,0
-113.60583583333333,53.306667222222224,51,23,-25.2,0,,,3012206.1999.1.23,,43.2,1.6,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-23 00:00:00,,,,1.6,,-38.4,,,,,,3012206,1,-12,,,,0
-113.60583583333333,53.306667222222224,49,24,-18.8,0,,,3012206.1999.1.24,,36.8,6.3,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-24 00:00:00,,,,6.3,,-34.7,,,,,,3012206,1,-2.8,,,,0
-113.60583583333333,53.306667222222224,53,25,-9.3,0,,,3012206.1999.1.25,,27.3,2.2,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-25 00:00:00,,,,2.2,,-17.2,,,,,,3012206,1,-1.3,,,,0
-113.60583583333333,53.306667222222224,53,26,-11.8,0,,,3012206.1999.1.26,,29.8,2.1,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-26 00:00:00,,,,2.1,,-19.1,,,,,,3012206,1,-4.4,,,,0
-113.60583583333333,53.306667222222224,51,27,-15.7,0,,,3012206.1999.1.27,,33.7,3.8,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-27 00:00:00,,,,3.8,,-26.7,,,,,,3012206,1,-4.7,,,,0
-113.60583583333333,53.306667222222224,52,28,-13.7,0,,,3012206.1999.1.28,,31.7,2.2,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-28 00:00:00,,,,2.2,,-22.4,,,,,,3012206,1,-5,,,,0
-113.60583583333333,53.306667222222224,54,29,-3.5,0,,,3012206.1999.1.29,,21.5,2.2,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-29 00:00:00,,,,2.2,,-11.4,,,,,,3012206,1,4.5,,,,0
-113.60583583333333,53.306667222222224,52,30,-13.1,0,,,3012206.1999.1.30,,31.1,0,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-30 00:00:00,,,,0,,-20.8,,,,,,3012206,1,-5.4,,,,0
-113.60583583333333,53.306667222222224,52,31,-14,0,,,3012206.1999.1.31,,32,1,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-31 00:00:00,,,,1,,-19.9,,,,,,3012206,1,-8.1,,,,0
-113.60583583333333,53.306667222222224,53,1,-9.8,0,,,3012206.1999.2.1,,27.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-01 00:00:00,,,,,,-17.1,,,,,,3012206,2,-2.4,,,,
-113.60583583333333,53.306667222222224,53,2,-6.9,0,,,3012206.1999.2.2,,24.9,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-02 00:00:00,,,,,,-9.6,,,,,,3012206,2,-4.2,,,,
-113.60583583333333,53.306667222222224,54,3,-17.2,0,,,3012206.1999.2.3,,35.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-03 00:00:00,,,,,,-26.1,,,,,,3012206,2,-8.3,,,,
-113.60583583333333,53.306667222222224,55,4,-19.3,0,,,3012206.1999.2.4,,37.3,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-04 00:00:00,,,,,,-28.8,,,,,,3012206,2,-9.7,,,,
-113.60583583333333,53.306667222222224,54,5,-18.4,0,,,3012206.1999.2.5,,36.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-05 00:00:00,,,,,,-27.4,,,,,,3012206,2,-9.3,,,,
-113.60583583333333,53.306667222222224,52,6,-8.8,0,,,3012206.1999.2.6,,26.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-06 00:00:00,,,,,,-17.5,,,,,,3012206,2,-0.1,,,,
-113.60583583333333,53.306667222222224,52,7,-9.6,0,,,3012206.1999.2.7,,27.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-07 00:00:00,,,,,,-16.5,,,,,,3012206,2,-2.7,,,,
-113.60583583333333,53.306667222222224,51,8,-9.6,0,,,3012206.1999.2.8,,27.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-08 00:00:00,,,,,,-17.2,,,,,,3012206,2,-1.9,,,,
-113.60583583333333,53.306667222222224,51,9,-11.9,0,,,3012206.1999.2.9,,29.9,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-09 00:00:00,,,,,,-24.3,,,,,,3012206,2,0.5,,,,
